0,Street City ST Zip,1,lat,long,Phone
1,Safeway,1071 El Camino Redwood City CA 94063,1,37.484643,-122.2304115
2,Safeway,70 Cabrillo Hwy Half Moon Bay CA 94019,1,37.463868,-122.4342609
3,Safeway,39100 Argonaut Way Fremont CA 94538,1,37.545291,-121.9892913
4,Safeway,5290 Diamond Hts Blvd San Francisco CA 94131,1,37.7435718,-122.4389496
5,Safeway,5130 Broadway Oakland CA 94611,1,37.8346582,-122.2505884
6,Safeway,1500 Solano Ave Albany CA 94706,1,37.8902765,-122.2869023
7,Safeway,6477 Almaden Road San Jose CA 95120,1,37.2271141,-121.8694182
8,Safeway,100 Calistoga Rd Santa Rosa CA 95409,1,38.4657392,-122.6517081
9,Safeway,6150 Bollinger Road San Jose CA 95129,1,37.3099826,-122.011886
10,Safeway,20629 Redwood Road Castro Valley CA 94546,1,37.696335,-122.0750449
11,Safeway,3540 Mt Diablo Blvd Lafayette CA 94549,1,37.8929105,-122.119445
12,Safeway,850 La Playa San Francisco CA 94121,1,37.772355,-122.509427
13,Safeway,1 Camino Alto Mill Valley CA 94941,1,37.8941163,-122.5313458
14,Safeway,1554 First St Livermore CA 94550,1,37.6804635,-121.777305
15,Safeway,600 S Broadway Walnut Creek CA 94596,1,37.898128,-122.0566281
16,Safeway,12876 Sara Sun Saratoga CA 95070,1,37.2638324,-122.0230146
17,Safeway,950 Las Gallinas San Rafael CA 94903,1,38.0084949,-122.5482887
18,Safeway,710 Bancroft Rd Walnut Creek CA 94598,1,37.9285029,-122.0393566
19,Safeway,16405 Hwy 116 Guerneville CA 95446,1,38.5019654,-123.0004235
20,Safeway,200 Alamo Plaza Alamo CA 94507,1,37.8511748,-122.0355959
21,Safeway,1655 El Camino Real San Mateo CA 94402,1,37.5533527,-122.3135346
22,Safeway,900 Diablo Ave Novato CA 94947,1,38.1037673,-122.5716736
23,Safeway,2505 San Ramon Valle San Ramon CA 94583,1,37.7732091,-121.9768323
24,Safeway,921 E Hillsdale Blvd Foster City CA 94404,1,37.5567785,-122.2758957
25,Safeway,1750 Miramonte Mountan View CA 94040,1,37.3724045,-122.0885094
26,Safeway,1100 El Camino Real Belmont CA 94002,1,37.5186741,-122.2758077
27,Safeway,4309 Clayton Rd Concord CA 94521,1,37.965888,-121.991194
28,Safeway,1451 W Covell Blvd Davis CA 95616,1,38.5621536,-121.7665061
29,Safeway,350 Bay Street San Francisco CA 94133,1,37.8059079,-122.412709
30,Safeway,3496 Camino Tassajara Danville CA 94506,1,37.7981227,-121.9177658
31,Safeway,15549 Union Ave Los Gatos CA 95032,1,37.2425035,-121.9324037
32,Safeway,4495 First St Livermore CA 94550,1,37.6859679,-121.7630609
33,Safeway,2785 Yulupa Ave Santa Rosa CA 95405,1,38.4257973,-122.6685363
34,Safeway,11290 Donner Pass Rd Truckee CA 96161,1,39.3272037,-120.2064298
35,Safeway,2341 So Winchester Blvd Campbell CA 95008,1,37.280062,-121.9509228
36,Safeway,9080 Brooks Road Windsor CA 95492,1,38.5756996,-122.7963756
37,Safeway,785 El Camino Real Sunnyvale CA 94087,1,37.3573534,-122.0176808
38,Safeway,840 E Dunne Ave Morgan Hill CA 95037,1,37.1287745,-121.6362572
39,Safeway,5146 Stevens Cr San Jose CA 95129,1,37.3221412,-121.995113
40,Safeway,1300 W. San Car San Jose CA 95126,1,37.3229323,-121.9119445
41,Safeway,1530 Hamilton Ave. San Jose CA 95125,1,37.2933027,-121.9109977
42,Safeway,2300  16Th Street San Francisco CA 94103,1,37.7669421,-122.409195
43,Safeway,1701 Santa Rita Rd Pleasanton CA 94566,1,37.6749003,-121.8743494
44,Safeway,2020 Market St San Francisco CA 94114,1,37.769106,-122.4283112
45,Safeway,1978 Contra Costa Blvd Pleasant Hill CA 94523,1,37.9485017,-122.0582151
46,Safeway,1450 Howard Ave Burlingame CA 94010,1,37.576491,-122.3482577
47,Safeway,2121 Cowell Davis CA 95616,1,38.5411658,-121.7250797
48,Safeway,2751 Fourth Street Santa Rosa CA 95404,1,38.4510151,-122.6911824
49,Safeway,2300 Mendocino Ave. Santa Rosa CA 95403,1,38.4636564,-122.7175083
50,Safeway,7815 North Lake Boulevard Kings Beach CA 96143,1,39.2380202,-120.0322306
51,Safeway,8640 Sierra College Blvd Roseville CA 95661,1,38.743488,-121.2267816
52,Safeway,15 Marina Blvd San Francisco CA 94123,1,37.8044556,-122.4328265
53,Safeway,5051 Business Center Drive Fairfield CA 94533,1,38.2166648,-122.141121
54,Safeway,838 Sir Francis Drake San Anselmo CA 94960,1,37.9806231,-122.5643124
55,Safeway,405 South Highway 65 Lincoln CA 95648,1,38.8781996,-121.2941509
56,Safeway,1850 Prairie City Road Folsom CA 95630,1,38.6497965,-121.1654383
57,Safeway,1020 Johnson Lane South Lake Tahoe CA 96150,1,38.9440302,-119.9673706
58,Safeway,8925 Madison Ave Fair Oaks CA 95628,1,38.665406,-121.2240717
59,Safeway,103 American Canyon Rd. American Canyon CA 94503,1,38.1646289,-122.2550007
60,Safeway,235 Tennant Station Morgan Hill CA 95037,1,37.1129095,-121.6391061
61,Safeway,14840 Highway 4 Discovery Bay CA 94514,1,37.889814,-121.622675
62,Safeway,2720 41st Avenue Soquel CA 95073,1,36.9861038,-121.9632402
63,Safeway,46848 Mission Blvd. Fremont CA 94539,1,37.4896804,-121.9274186
64,Safeway,4440 Tassajara_Rd Dublin CA 94568,1,37.7068238,-121.8739573
65,Safeway,7499 Dublin Blvd Dublin CA 94568,1,37.705697,-121.9270399
66,Safeway,3970 Rivermark Plaza Santa Clara CA 95054,1,37.3948124,-121.9476584
67,Safeway,1025 Alhambra Blvd Sacramento CA 95816,1,38.5716084,-121.4646287
68,Safeway,137 Corte Madera_Town Ctr Corte Madera CA 94925,1,37.928063,-122.517744
69,Safeway,2203 Mission St Santa Cruz CA 95060,1,36.9615573,-122.0452248
70,Safeway,3110 Balfour Road Brentwood CA 94513,1,37.9240332,-121.7219886
71,Safeway,5 Crossroads Blvd Carmel CA 93923,1,36.5364311,-121.9111938
72,Safeway,2207 Francisco Dr El Dorado Hills CA 95762,1,38.7109334,-121.0844751
73,Safeway,6445 Pacific Avenue Stockton CA 95207,1,38.0084101,-121.3212646
74,Safeway,2227 S Shore Center Alameda CA 94501,1,37.7574125,-122.2510056
75,Safeway,11050 Bollinger Canyon Rd.  San Ramon CA 94582,1,37.7748003,-121.9220727
76,Safeway,110 Strawberry Village,1,37.8992556,-122.5146921
77,Safeway,525 El Camino Real Menlo Park CA 94025,1,37.4503545,-122.1791401
78,Safeway,5720 Nave Drive Novato CA 94949,1,38.0623639,-122.5320386
79,Safeway,815 Canyon Del Rey Del Rey Oaks CA 93940,1,36.5975944,-121.8502261
80,Safeway,6790 Bernal St. Pleasanton CA 94588,1,37.656118,-121.8994875
81,Safeway,105 El Camino Real East Sunnyvale CA 94087,1,37.3685197,-122.032095
82,Safeway,11450 San Pablo Ave. El Cerrito CA 94530,1,37.9223398,-122.3154333
83,Safeway,Golf Club Rd. & Old Quarry Rd Pleasant Hill CA 94523,1,37.9715411,-122.0691631
84,Safeway,2550 Bell Road Auburn CA 95603,1,38.9440731,-121.0928029
85,Safeway,950 West Hamilton Campbell CA 95008,1,37.292883,-121.9667323
86,Safeway,6951 El Camino Real Carlsbad CA 92009,1,33.1035391,-117.2685298
87,Safeway,11986 Bernardo Plaza Dr San Diego CA 92128,1,33.0209692,-117.0722258
88,Safeway,13255 Black Mountain Rd San Diego CA 92129,1,32.9574844,-117.1249095
89,Safeway,5600 Santa Ana Canyon Rd Anaheim CA 92807,1,33.8498098,-117.7917195
90,Safeway,10675 Scrpps Poway Parkway San Diego CA 92131,1,32.9354932,-117.0983674
91,Safeway,715 Pier Ave Hermosa Beach CA 90254,1,33.864961,-118.3948077
92,Safeway,1702 Garnet St San Diego CA 92109,1,32.8020198,-117.2389545
93,Safeway,3850 Valley Centre Dr San Diego CA 92130,1,32.9393162,-117.231937
94,Safeway,1390 N. Allen Ave Pasadena CA 91104,1,34.1700338,-118.1117039
95,Safeway,155 California Blvd Pasadena CA 91105,1,34.1357883,-118.1471487
96,Safeway,3900 Broad Street San Luis Obisbo CA 93401,1,35.2501376,-120.6419666
97,Safeway,7544 Girard Ave La Jolla CA 92037,1,32.8417248,-117.2735908
98,Safeway,931 Lomas Santa Fe Dr Solana Beach CA 92075,1,32.994222,-117.254548
99,Safeway,481 Old Mammoth Rd Mammoth Lakes CA 93546,1,37.6386908,-118.9654604
100,Safeway,9000 Ming Avenue Bakersfield CA 93311,1,35.3413681,-119.103607
101,Safeway,27320 Alicia Parkway Laguna Niguel CA 92656,1,33.5662067,-117.712951
102,Safeway,8969 Santa Monica Blvd West Hollywood CA 90069,1,34.0835854,-118.3869231
103,Safeway,1101 Pacific Coast Highway Seal Beach CA 90740,1,33.7440019,-118.0999543
104,Safeway,2355 E. Colorado Blvd Pasadena CA 91107,1,34.1476203,-118.1020598
105,Safeway,21181 Newport Coast Drive Newport Beach CA 92657,1,33.6067488,-117.8277582
106,Safeway,4365 Glencoe Ave Marina Del Rey CA 90292,1,33.9851745,-118.4396515
107,Safeway,5949 E. Spring St Long Beach CA 90808,1,33.811711,-118.115446
108,Safeway,26022 Marguerite Parkway Mission Viejo CA 92692,1,33.5860252,-117.6576415
109,Safeway,1110 W. Alameda Ave. Burbank CA 91506,1,34.1614062,-118.313449
110,Safeway,6534 Platt Ave West Hills CA 91307,1,34.189151,-118.6414058
111,Safeway,727 N. Vine Street Los Angeles CA 90038,1,34.0845782,-118.3272047
112,Safeway,7 Peninsula Center Rolling Hills Estates CA 90274,1,33.7758714,-118.3764798
113,Safeway,4627 Carmel Mountain Road San Diego CA 92130,1,32.9203236,-117.2149822
114,Safeway,262 N. El Camino Real Encinitas CA 92024,1,33.051139,-117.2622512
115,Safeway,185 E 17th St. Costa Mesa CA 92627,1,33.6345201,-117.9203794
116,Safeway,2495 Truxtun Rd; Suite 100 San Diego CA 92106,1,32.7369367,-117.216164
117,Safeway,2725 Agoura Rd Thousand Oaks CA 91361,1,34.152001,-118.825841
118,Safeway,2660 San Miguel Drive Newport Beach CA 92660,1,33.6268096,-117.8485658
119,Safeway,22451 Antonio Parkway Rancho S. Margarita CA 92688,1,33.6368635,-117.5915747
120,Safeway,868 Orange Street Coronado CA 92118,1,32.6878505,-117.1792437
121,Safeway,600 N. Pacific Coast Highway Laguna Beach CA 92651,1,33.5464331,-117.7935422
